Track Number,Track Name,Artist Name,Release Date,Artist Id,Track Popularity,Playlist Name,Followers Count
1,Die With A Smile,Lady Gaga,2024-08-16,1HY2Jd0NmPuamShAr6KMms,99,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
2,BIRDS OF A FEATHER,Billie Eilish,2024-05-17,6qqNVTkY8uBg9cP3Jd7DAH,96,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
3,Espresso,Sabrina Carpenter,2024-04-12,74KM79TiuVKeVCqs8QtB0B,87,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
4,As It Was,Harry Styles,2022-03-31,6KImCVD70vtIoJWnq6nGn3,27,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
5,Life,ConKi,2024-04-08,2oBcbbUQy8Md3FYXifyPTF,67,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
6,Cruel Summer,Taylor Swift,2019-08-23,06HL4z0CvFAxyc27GXpf02,87,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
7,APT.,ROSÉ,2024-10-18,3eVa5w3URK5duf6eyVDbu9,95,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
8,"Good Luck, Babe!",Chappell Roan,2024-04-05,7GlBOeep6PqTfFi59PTUUN,92,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
9,Too Sweet,Hozier,2024-03-22,2FXC3k01G6Gw61bmprjgqS,39,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
10,Oh My Love,ConKi,2024-09-12,2oBcbbUQy8Md3FYXifyPTF,65,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
11,Flowers,Miley Cyrus,2023-01-13,5YGY8feqx7naU7z4HrwZM6,34,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
12,Beautiful Things,Benson Boone,2024-01-18,22wbnEMDvgVIAGdFeek6ET,84,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
13,STAY (with Justin Bieber),The Kid LAROI,2021-07-09,2tIP7SsRs7vjIcLrU85W8J,77,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
14,A Bar Song (Tipsy),Shaboozey,2024-04-12,3y2cIKLjiOlp1Np37WiUdH,85,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
15,Ocean,ConKi,2022-02-10,2oBcbbUQy8Md3FYXifyPTF,56,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
16,Please Please Please,Sabrina Carpenter,2024-06-06,74KM79TiuVKeVCqs8QtB0B,84,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
17,i like the way you kiss me,Artemas,2024-03-19,0PCCGZ0wGLizHt2KZ7hhA2,82,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
18,I Ain't Worried,OneRepublic,2022-05-13,5Pwc4xIPtQLFEnJriah9YJ,79,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
19,Sleep,ConKi,2023-06-01,2oBcbbUQy8Md3FYXifyPTF,60,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
20,Unholy (feat. Kim Petras),Sam Smith,2022-09-22,2wY79sveU1sp5g7SokKOiI,76,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
21,vampire,Olivia Rodrigo,2023-06-30,1McMsnEElThX1knmY4oliG,22,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
22,Cold Heart - PNAU Remix,Elton John,2021-08-13,3PhoLpVuITZKcymswpck5b,79,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
23,I'll Be There,ConKi,2022-08-11,2oBcbbUQy8Md3FYXifyPTF,56,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
24,Ghost,Justin Bieber,2021-03-19,1uNFoZAHBGtllmzznpCI3s,68,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
25,Greedy,MARSTEREON,2025-01-23,7jEVO7yGtLTH2UsMcuA8Ap,47,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
26,Kiss Me More (feat. SZA),Doja Cat,2021-06-25,5cj0lLjcoR7YOSnhnX0Po5,81,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
27,Lose Control,Teddy Swims,2023-09-15,33qOK5uJ8AR2xuQQAhHump,88,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
28,Let It Go,ConKi,2023-02-16,2oBcbbUQy8Md3FYXifyPTF,54,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
29,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,2024-02-09,1Xyo4u8uXC1ZmMpatF05PJ,62,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
30,I Had Some Help (Feat. Morgan Wallen),Post Malone,2024-05-10,246dkjvS1zLTtiykXe5h60,82,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
31,Daylight,David Kushner,2023-04-14,33NVpKoXjItPwUJTMZIOiY,80,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
32,Roaring 20s,DVNY,2024-09-26,6bZPyY7fpgegmdBHwbbu77,54,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
33,I'm Good (Blue),David Guetta,2022-08-26,1Cs0zKBU1kc0i8ypK3B9ai,84,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
34,Calm Down (with Selena Gomez),Rema,2022-08-25,46pWGuE3dSwY3bMMXGBvVS,78,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
35,Glimpse of Us,Joji,2022-06-10,3MZsBdqDrRTJihTHQrO6Dq,54,BEST HITS 2025 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,345438
